year,city,country,avg_temp,7-YEAR MA
1938,Guangzhou,China,22.08,21.61571429
1939,Guangzhou,China,21.77,21.66571429
1940,Guangzhou,China,22.12,21.73285714
1941,Guangzhou,China,22.14,21.87142857
1942,Guangzhou,China,22.24,21.94142857
1943,Guangzhou,China,22.2,22.08142857
1944,Guangzhou,China,21.84,22.05571429
1945,Guangzhou,China,21.74,22.00714286
1946,Guangzhou,China,22.81,22.15571429
1947,Guangzhou,China,21.68,22.09285714
1948,Guangzhou,China,22.2,22.10142857
1949,Guangzhou,China,22.27,22.10571429
1950,Guangzhou,China,22.13,22.09571429
1951,Guangzhou,China,21.72,22.07857143
1952,Guangzhou,China,22.26,22.15285714
1953,Guangzhou,China,22.09,22.05
1954,Guangzhou,China,21.86,22.07571429
1955,Guangzhou,China,21.86,22.02714286
1956,Guangzhou,China,21.7,21.94571429
1957,Guangzhou,China,21.6,21.87
1958,Guangzhou,China,21.97,21.90571429
1959,Guangzhou,China,22.04,21.87428571
1960,Guangzhou,China,22.09,21.87428571
1961,Guangzhou,China,21.98,21.89142857
1962,Guangzhou,China,21.72,21.87142857
1963,Guangzhou,China,22.17,21.93857143
1964,Guangzhou,China,21.93,21.98571429
1965,Guangzhou,China,22.04,21.99571429
1966,Guangzhou,China,22.46,22.05571429
1967,Guangzhou,China,21.53,21.97571429
1968,Guangzhou,China,21.92,21.96714286
1969,Guangzhou,China,21.43,21.92571429
1970,Guangzhou,China,21.52,21.83285714
1971,Guangzhou,China,21.66,21.79428571
1972,Guangzhou,China,21.8,21.76
1973,Guangzhou,China,22.23,21.72714286
1974,Guangzhou,China,21.72,21.75428571
1975,Guangzhou,China,21.84,21.74285714
1976,Guangzhou,China,21.33,21.72857143
1977,Guangzhou,China,22.18,21.82285714
1978,Guangzhou,China,21.92,21.86
1979,Guangzhou,China,21.98,21.88571429
1980,Guangzhou,China,22.14,21.87285714
1981,Guangzhou,China,22.06,21.92142857
1982,Guangzhou,China,21.92,21.93285714
1983,Guangzhou,China,21.7,21.98571429
1984,Guangzhou,China,21.18,21.84285714
1985,Guangzhou,China,21.56,21.79142857
1986,Guangzhou,China,22.02,21.79714286
1987,Guangzhou,China,22.57,21.85857143
1988,Guangzhou,China,21.62,21.79571429
1989,Guangzhou,China,22.1,21.82142857
1990,Guangzhou,China,22.42,21.92428571
1991,Guangzhou,China,22.21,22.07142857
1992,Guangzhou,China,21.49,22.06142857
1993,Guangzhou,China,21.57,21.99714286
1994,Guangzhou,China,22.02,21.91857143
1995,Guangzhou,China,21.47,21.89714286
1996,Guangzhou,China,21.54,21.81714286
1997,Guangzhou,China,21.86,21.73714286
1998,Guangzhou,China,22.64,21.79857143
1999,Guangzhou,China,22.33,21.91857143
2000,Guangzhou,China,22.09,21.99285714
2001,Guangzhou,China,22.12,22.00714286
2002,Guangzhou,China,22.4,22.14
2003,Guangzhou,China,22.47,22.27285714
2004,Guangzhou,China,22.18,22.31857143
2005,Guangzhou,China,22.06,22.23571429
2006,Guangzhou,China,22.49,22.25857143
2007,Guangzhou,China,22.54,22.32285714
2008,Guangzhou,China,21.78,22.27428571
2009,Guangzhou,China,22.42,22.27714286
2010,Guangzhou,China,22,22.21
2011,Guangzhou,China,21.68,22.13857143
2012,Guangzhou,China,21.95,22.12285714
2013,Guangzhou,China,22.93,22.18571429
